Origin Airport Code,Destination Airport Code,Origin Latitude,Origin Longitude,Destination Latitude,Destination Longitude,Great Circle Distance,Timezone Difference,Continent Origin,Continent Destination,Route Popularity,Flight_Distance
ORG754,DST883,-0.28382326,-43.31270688,38.50835735,24.02422595,8076.863942,1,South America,Europe,397,8120.606391
ORG301,DST627,25.95435378,82.25301847,40.63007409,145.859627,6000.224245,11,Asia,Asia,650,5998.108994
ORG501,DST681,1.386827578,-81.5400817,1.265511335,82.7737788,18246.26383,9,South America,Asia,655,18207.57227
ORG310,DST812,23.36751719,34.90464929,-24.3846792,121.9486015,10777.98486,-2,Africa,Australia,740,10813.85026
ORG608,DST878,3.328282058,-16.36491705,40.39659311,45.87191086,7442.778451,-2,Africa,Asia,173,7426.288895
ORG715,DST454,33.11834729,54.18248385,13.18975646,-6.776018358,6519.653948,-3,Africa,Africa,801,6475.008514
ORG575,DST633,-18.19472147,144.290109,-33.41170277,-30.69000045,14252.02738,-10,Australia,South America,493,14275.85422
ORG191,DST759,55.95301894,92.17046849,-33.17116537,130.2952096,10547.74696,9,Asia,Australia,697,10563.50396
ORG926,DST970,-44.77914457,129.5484039,42.37638427,142.6070836,9777.728049,3,Australia,Asia,188,9750.491756
ORG670,DST718,-54.70027356,-53.98057048,45.34509624,-126.6800134,13051.31127,6,South America,North America,161,13024.21531
ORG519,DST476,-17.22125785,139.3971182,43.62696793,66.28973747,10028.98953,-2,Australia,Asia,70,10058.52996
ORG157,DST153,-2.69157761,-52.74301576,58.18202842,137.7233125,13777.3288,-11,South America,Asia,259,13776.3097
ORG338,DST917,13.13815226,-71.1854516,-13.21074513,-81.04423136,3124.834712,-9,South America,South America,719,3147.169014
ORG579,DST153,14.91107105,22.26349823,29.02723447,82.59557835,6349.92865,0,Africa,Asia,923,6352.033459
ORG933,DST430,63.64708597,26.63209542,-29.78421231,153.2468179,14727.31604,11,Europe,Australia,735,14747.21954
ORG259,DST429,37.12097833,134.4472582,-18.88967365,123.3203121,6336.45347,4,Asia,Australia,620,6340.344843
ORG605,DST260,6.376179614,-2.670474036,31.58550964,-85.98810275,9005.196797,7,Africa,North America,480,9000.132031
ORG553,DST392,-48.10544621,-58.8397764,-31.59795819,13.87024589,6227.934749,-7,South America,Africa,383,6252.279436
ORG267,DST403,51.40697735,-60.74124374,63.47247199,-99.01485082,2597.578209,8,North America,North America,840,2554.162296
ORG496,DST949,-33.29002962,35.49389179,-22.27391547,153.5813609,11006.45513,-6,Africa,Australia,242,11050.15465
ORG674,DST857,-37.66911672,142.8382166,-40.59136187,124.6249149,1601.155196,-6,Australia,Australia,717,1639.898441
ORG239,DST294,-48.47331476,-40.70710571,5.677209587,45.1622993,10176.64749,-4,South America,Asia,642,10165.85433
ORG786,DST701,29.64244998,96.79148433,58.91973614,-9.528001135,8082.967329,1,Asia,Europe,780,8090.258222
ORG526,DST520,45.75178629,-160.6899579,-5.41507707,32.10930649,15362.52545,-1,North America,Africa,949,15352.48716
ORG256,DST657,52.30173158,-50.48318045,12.99226366,-51.46528666,4371.89361,-8,North America,South America,56,4360.227026
ORG600,DST598,32.99104787,-19.94475764,19.51022155,7.03449429,3066.166085,0,Africa,Africa,390,3074.469398
ORG200,DST884,3.135433277,18.12298022,26.47396163,-155.2743783,16647.02015,-7,Africa,North America,918,16637.99437
ORG345,DST563,38.55595339,-19.26875893,62.4972585,-16.84710932,2667.210397,-11,Europe,Europe,305,2619.729571
ORG150,DST282,-22.56290279,-83.41121859,63.72887855,32.18239436,13496.26947,4,South America,Europe,81,13523.64154
ORG383,DST137,-30.50350038,47.54137077,-37.33883329,159.4097062,9671.55058,-11,Africa,Australia,286,9631.517523
ORG199,DST367,39.19996452,-99.36735652,20.19325182,-156.139811,5773.65191,-8,North America,North America,506,5823.195294
ORG262,DST418,-15.88513518,-61.07593738,55.06645939,-95.26029135,8521.024611,4,South America,North America,84,8472.44185
ORG262,DST921,62.64934435,-125.616625,53.99924458,-24.9109016,5343.576943,8,North America,Europe,365,5387.611431
ORG300,DST766,3.580690595,-62.38134768,-28.14251014,150.3265289,15606.32671,8,South America,Australia,108,15600.11721
ORG545,DST813,58.38552091,-20.89000272,47.38970553,112.7688524,7512.087859,-7,Europe,Asia,681,7472.781221
ORG956,DST729,-14.20557144,13.4752731,-23.74472503,122.6886191,11246.23416,0,Africa,Australia,737,11209.94588
ORG920,DST367,37.76395843,60.48726345,66.17052517,-106.0646214,8400.549127,-2,Asia,North America,425,8365.345404
ORG637,DST825,42.63780899,-21.16531155,-7.56170354,-4.872657553,5821.102427,5,Europe,Africa,749,5778.120133
ORG187,DST903,-17.71004804,-41.6207109,-27.97720851,112.1225522,14201.56239,2,South America,Australia,479,14196.45487
ORG790,DST648,42.21676898,48.12138266,18.62653396,73.7449344,3565.892207,-1,Europe,Asia,352,3608.563533
ORG881,DST615,-26.49897763,142.5034535,16.24606586,-143.9033429,9254.894119,-6,Australia,North America,32,9300.992784
ORG489,DST506,-27.79154496,-18.4704857,49.24226724,-72.64011744,10103.65489,-7,Africa,North America,287,10147.60877
ORG893,DST109,14.12190996,18.80422431,30.66445524,-18.93283657,4265.480812,-7,Africa,Africa,855,4258.70054
ORG263,DST802,25.95239187,-118.1812128,32.02631757,-139.0740589,2137.127251,6,North America,North America,365,2124.861512
ORG281,DST203,-45.11609405,-32.28894534,24.17599821,112.9284197,16120.7487,5,South America,Asia,638,16155.23811
ORG515,DST950,-11.19383502,133.6413239,36.11613337,-21.60411335,16292.08135,8,Australia,Europe,134,16333.96127
ORG358,DST262,-18.61690899,117.462034,-27.98697065,158.1696924,4264.895796,2,Australia,Australia,179,4308.338819
ORG906,DST333,-10.15633879,-38.64634454,59.08975356,-61.90662967,7977.616567,3,South America,North America,339,7958.201547
ORG651,DST973,65.7427711,-19.60312972,19.4463129,-114.7793356,8275.156186,9,Europe,North America,388,8277.287124
ORG895,DST464,46.83695023,37.97595102,-33.11755843,-36.50825671,11586.15512,4,Europe,South America,917,11613.66377
ORG848,DST600,-43.52632396,134.4264789,59.14170699,122.6141863,11467.63764,-11,Australia,Asia,948,11474.71877
ORG663,DST187,29.69975591,71.85740492,-11.62813551,132.825483,7979.132602,7,Asia,Australia,707,8028.41821
ORG594,DST796,27.14368931,53.38653287,32.87578164,100.8233198,4574.030799,4,Asia,Asia,189,4603.010904
ORG638,DST557,18.26155778,149.3886374,28.786951,-127.3295548,8409.14867,-6,Asia,North America,284,8367.193559
ORG727,DST917,5.221327004,-34.74077168,30.10083123,90.89480867,13026.51167,0,South America,Asia,583,13058.26401
ORG882,DST258,38.51486766,-50.22249826,-21.25904708,-9.062483732,7910.729194,7,North America,Africa,291,7879.956656
ORG439,DST940,-12.45651371,7.800353345,-17.43744846,112.907089,11148.63469,-8,Africa,Australia,254,11184.05613
ORG799,DST252,-1.072032889,-69.31732131,3.607574315,75.09511757,16051.62577,10,South America,Asia,753,16100.00649
ORG596,DST510,23.2564726,21.75265904,7.272513335,-68.62857569,9727.643275,2,Africa,South America,698,9691.156715
ORG346,DST854,42.76825425,0.864823689,-10.91300123,145.4733631,15093.6422,10,Europe,Australia,137,15095.80955
ORG844,DST915,-42.37247692,129.823135,56.94995816,-150.1532609,13307.3896,-9,Australia,North America,67,13316.9118
ORG113,DST754,44.62461721,100.4536474,26.80746264,-136.1444439,10217.16614,-11,Asia,North America,156,10219.84943
ORG254,DST751,8.402432676,-55.30837864,-27.90582536,52.55279753,12194.23647,2,South America,Africa,32,12195.07323
ORG521,DST978,53.63555719,-4.019063775,22.40913128,-8.981587049,3497.389196,6,Europe,Africa,940,3459.901834
